îÑè„ID,å⁄ãqID,å_ñÒID,îÑè„ì˙,îÑè„
S-1125052,C-1000892,N-1001965,2022/1/1,29000
S-1125053,C-1001352,N-1003792,2022/1/1,10000
S-1125054,C-1000547,N-1000944,2022/1/1,30000
S-1125055,C-1000072,N-1000075,2022/1/1,10000
S-1125056,C-1000222,N-1000275,2022/1/1,50000
S-1125057,C-1000072,N-1000074,2022/1/1,10000
S-1125058,C-1000792,N-1002626,2022/1/1,9000
S-1125074,C-1000782,N-1001893,2022/1/1,50000
S-1125075,C-1000905,N-1002042,2022/1/1,10000
S-1125076,C-1000251,N-1000324,2022/1/1,9000
S-1125077,C-1000577,N-1001166,2022/1/1,80000
S-1125078,C-1000656,N-1001417,2022/1/1,30000
S-1125079,C-1000599,N-1001044,2022/1/1,10000
S-1125080,C-1000222,N-1000274,2022/1/1,50000
S-1125081,C-1000792,N-1001571,2022/1/1,9000
S-1125082,C-1001093,N-1002623,2022/1/1,30000
S-1125083,C-1001095,N-1002622,2022/1/1,30000
S-1125084,C-1001037,N-1002414,2022/1/1,6000
S-1125085,C-1001093,N-1002621,2022/1/1,30000
S-1125086,C-1001440,N-1003963,2022/1/1,13000
S-1125087,C-1000821,N-1001680,2022/1/1,50000
S-1125088,C-1000284,N-1001573,2022/1/1,30000
S-1125089,C-1000527,N-1001510,2022/1/1,9000
S-1125090,C-1001361,N-1003579,2022/1/1,13000
S-1125091,C-1000656,N-1001416,2022/1/1,30000
S-1125092,C-1000222,N-1003302,2022/1/1,6000
S-1125093,C-1000656,N-1001450,2022/1/1,15000
S-1125094,C-1001037,N-1002415,2022/1/1,6000
S-1125095,C-1000458,N-1000684,2022/1/1,50000
S-1125096,C-1000905,N-1002040,2022/1/1,10000
S-1125097,C-1000905,N-1002041,2022/1/1,10000
S-1125133,C-1001095,N-1002625,2022/1/1,30000
S-1125134,C-1000782,N-1001892,2022/1/1,15000
S-1125135,C-1000251,N-1000325,2022/1/1,9000
S-1125136,C-1001093,N-1002624,2022/1/1,30000
S-1125137,C-1000072,N-1003578,2022/1/1,21000
S-1125138,C-1000734,N-1001681,2022/1/1,29000
S-1125139,C-1000346,N-1001941,2022/1/1,13000
S-1125140,C-1000202,N-1001170,2022/1/1,80000
S-1125141,C-1001037,N-1003466,2022/1/1,6000
S-1125142,C-1001198,N-1003051,2022/1/1,50000
S-1125143,C-1000547,N-1000943,2022/1/1,30000
S-1125144,C-1000481,N-1000904,2022/1/1,80000
S-1125145,C-1000821,N-1001679,2022/1/1,50000
S-1125146,C-1000251,N-1003791,2022/1/1,9000
S-1125147,C-1000734,N-1001682,2022/1/1,29000
S-1125148,C-1001283,N-1003300,2022/1/1,29000
S-1125149,C-1000599,N-1001041,2022/1/1,10000
S-1125150,C-1001198,N-1003055,2022/1/1,50000
